suite	folder	name	description	path
geo	geo-citability	geo-citability	AI citability scoring and optimization. Analyzes web page content to determine how likely AI systems (ChatGPT, Claude, Perplexity, Gemini) are to cite or quote passages from the page. Provides a citability score (0-100) with specific rewrite suggestions.	skills/geo-citability/SKILL.md
geo	geo-compare	geo-compare	Monthly delta tracking and progress reporting for GEO clients. Compares two GEO audits (baseline vs. current), calculates score improvements across all categories, tracks action item completion, and generates a "here's your progress" client report. Use when user says "compare", "delta", "monthly report", "progress", "confronta", "progressi", "report mensile", or when running a monthly client check-in.	skills/geo-compare/SKILL.md
geo	geo-content	geo-content	Content quality and E-E-A-T assessment for AI citability — evaluate experience, expertise, authoritativeness, trustworthiness, and content structure	skills/geo-content/SKILL.md
geo	geo-crawlers	geo-crawlers	AI crawler access analysis. Checks robots.txt, meta tags, and HTTP headers to determine which AI crawlers can access the site. Provides a complete access map and recommendations for maximizing AI visibility while maintaining appropriate control.	skills/geo-crawlers/SKILL.md
geo	geo-llmstxt	geo-llmstxt	Analyzes and generates llms.txt files -- the emerging standard for helping AI systems understand website structure and content. Can validate existing llms.txt files or generate new ones from scratch by crawling the site.	skills/geo-llmstxt/SKILL.md
geo	geo-platform-optimizer	geo-platform-optimizer	Platform-specific AI search optimization — audit and optimize for Google AI Overviews, ChatGPT, Perplexity, Gemini, and Bing Copilot individually	skills/geo-platform-optimizer/SKILL.md
geo	geo-proposal	geo-proposal	Auto-generate a professional, client-ready GEO service proposal from audit data. Creates a full proposal in markdown and PDF including executive summary, findings, recommended service packages (Basic/Standard/Premium), pricing, timeline, and terms. Use when user says "proposal", "proposta", "offerta", "preventivo", "generate proposal", or after completing a GEO audit for a prospect.	skills/geo-proposal/SKILL.md
geo	geo-prospect	geo-prospect	CRM-lite for managing GEO agency prospects and clients. Track leads through the full sales pipeline: Lead → Qualified → Proposal Sent → Won → Lost. Store audit history, notes, deal values, and generate pipeline summaries. Use when user says "prospect", "lead", "client", "pipeline", "crm", "nuovo prospect", "aggiungi cliente", or when managing the business side of GEO services.	skills/geo-prospect/SKILL.md
geo	geo-report	geo-report	Generate a professional, client-facing GEO report combining all audit results into a single deliverable with scores, findings, and prioritized actions	skills/geo-report/SKILL.md
geo	geo-report-pdf	geo-report-pdf	Generate a professional PDF report from GEO audit data using ReportLab. Creates a polished, client-ready PDF with score gauges, bar charts, platform readiness visualizations, color-coded tables, and prioritized action plans.	skills/geo-report-pdf/SKILL.md
geo	geo-schema	geo-schema	Schema.org structured data audit and generation optimized for AI discoverability — detect, validate, and generate JSON-LD markup	skills/geo-schema/SKILL.md
geo	geo-technical	geo-technical	Technical SEO audit with GEO-specific checks — crawlability, indexability, security, performance, SSR, and AI crawler access	skills/geo-technical/SKILL.md
other	heygen-video	heygen-video	Runs the HeyGen Avatar Automation pipeline to produce a finished avatar video from a script. Use this skill any time the user wants to generate an avatar video, turn a script into a video, run the video pipeline, produce course content or training videos, or mentions HeyGen, ElevenLabs, or the script-to-video workflow. Trigger even if the user phrases it casually — e.g. "make a video from this", "run the pipeline on my script", "generate a video for lesson 3", or "process this doc".	skills/heygen-video/SKILL.md
lead-magnet	lead-magnet	lead-magnet	Lead Magnet Skill orchestrator for enmessara.ai - coordinates an 8-agent lead magnet funnel from idea, hook, post, deliverables, CTA, P.S., resource outline, and DM delivery sequence	skills/lead-magnet/SKILL.md
lead-magnet	lead-magnet-cta-variants	lead-magnet-cta-variants	Agent 5 of the Lead Magnet Skill - generates five CTA variations for LinkedIn lead magnet posts and recommends which to test based on reach, lead quality, DMs, or booked-call goals	skills/lead-magnet-cta-variants/SKILL.md
lead-magnet	lead-magnet-deliverables	lead-magnet-deliverables	Agent 4 of the Lead Magnet Skill - generates 5-7 concrete deliverable bullets for a lead magnet post, using only assets actually inside the resource	skills/lead-magnet-deliverables/SKILL.md
lead-magnet	lead-magnet-dm-sequence	lead-magnet-dm-sequence	Agent 8 of the Lead Magnet Skill - writes a four-message DM delivery sequence that sends the lead magnet, keeps the conversation alive, and converts commenters into calls	skills/lead-magnet-dm-sequence/SKILL.md
lead-magnet	lead-magnet-hook-framework	lead-magnet-hook-framework	Agent 2 of the Lead Magnet Skill - selects the best hook framework from 9 proven options based on lead magnet, proof level, ICP awareness, and post goal	skills/lead-magnet-hook-framework/SKILL.md
lead-magnet	lead-magnet-ideator	lead-magnet-ideator	Agent 1 of the Lead Magnet Skill - generates 10 lead magnet ideas mapped to offer, ICP pain, reusable resources, proof, build difficulty, honesty, and lead quality	skills/lead-magnet-ideator/SKILL.md
lead-magnet	lead-magnet-post-structure	lead-magnet-post-structure	Agent 3 of the Lead Magnet Skill - builds a full LinkedIn lead magnet post using the proven 7-part structure from a selected hook, deliverables, keyword, offer, and voice profile	skills/lead-magnet-post-structure/SKILL.md
lead-magnet	lead-magnet-ps-generator	lead-magnet-ps-generator	Agent 6 of the Lead Magnet Skill - generates eight P.S. variations for LinkedIn lead magnet posts across done-for-you, time saver, filter, curiosity, repost, connection, proof, and call angles	skills/lead-magnet-ps-generator/SKILL.md
lead-magnet	lead-magnet-resource-outline	lead-magnet-resource-outline	Agent 7 of the Lead Magnet Skill - designs the actual lead magnet resource structure readers receive, including master layout, sections, CTA copy, DM script, and upsell path	skills/lead-magnet-resource-outline/SKILL.md
legal	legal	legal		skills/legal/SKILL.md
legal	legal-agreement	legal-agreement		skills/legal-agreement/SKILL.md
legal	legal-compare	contract-comparison	Side-by-side comparison of two contract versions or two different contracts with change tracking, favorability analysis, and risk assessment	skills/legal-compare/SKILL.md
legal	legal-compliance	legal-compliance		skills/legal-compliance/SKILL.md
legal	legal-freelancer	legal-freelancer		skills/legal-freelancer/SKILL.md
legal	legal-missing	missing-protections-finder	Identifies critical clauses and protections that should be in a contract but are missing, with urgency ratings and ready-to-insert language	skills/legal-missing/SKILL.md
legal	legal-nda	custom-nda-generator	Generates a complete, customized Non-Disclosure Agreement with plain English annotations, tailored to the specific parties and situation	skills/legal-nda/SKILL.md
legal	legal-negotiate	counter-proposal-generator	Generates specific counter-proposals for every unfavorable clause, with replacement language, negotiation talking points, and a ready-to-send email template	skills/legal-negotiate/SKILL.md
legal	legal-plain	plain-english-translation	Translates every clause of a contract from legalese into clear, plain English with flags for deliberately confusing or misleading language	skills/legal-plain/SKILL.md
legal	legal-privacy	legal-privacy		skills/legal-privacy/SKILL.md
legal	legal-report-pdf	legal-report-pdf		skills/legal-report-pdf/SKILL.md
legal	legal-review	legal-review		skills/legal-review/SKILL.md
legal	legal-risks	deep-risk-analysis	Clause-by-clause contract risk analysis with severity scoring, financial exposure estimates, and prioritized remediation guidance	skills/legal-risks/SKILL.md
legal	legal-terms	terms-of-service-generator	Generates complete, GDPR/CCPA-compliant Terms of Service for a website or SaaS product, with plain English summaries for each section	skills/legal-terms/SKILL.md
market	market	market		skills/market/SKILL.md
market	market-ads	market-ads		skills/market-ads/SKILL.md
market	market-audit	market-audit		skills/market-audit/SKILL.md
market	market-brand	market-brand		skills/market-brand/SKILL.md
market	market-competitors	market-competitors		skills/market-competitors/SKILL.md
market	market-copy	market-copy		skills/market-copy/SKILL.md
market	market-dental	market-dental		skills/market-dental/SKILL.md
market	market-emails	market-emails		skills/market-emails/SKILL.md
market	market-funnel	market-funnel		skills/market-funnel/SKILL.md
market	market-home-services	market-home-services		skills/market-home-services/SKILL.md
market	market-landing	market-landing		skills/market-landing/SKILL.md
market	market-launch	market-launch		skills/market-launch/SKILL.md
market	market-medspa	market-medspa		skills/market-medspa/SKILL.md
market	market-proposal	market-proposal		skills/market-proposal/SKILL.md
market	market-real-estate	market-real-estate		skills/market-real-estate/SKILL.md
market	market-report	market-report		skills/market-report/SKILL.md
market	market-report-pdf	market-report-pdf		skills/market-report-pdf/SKILL.md
market	market-robotics	market-robotics		skills/market-robotics/SKILL.md
market	market-seo	market-seo		skills/market-seo/SKILL.md
market	market-social	market-social		skills/market-social/SKILL.md
market	market-veterinary	market-veterinary		skills/market-veterinary/SKILL.md
reputation	reputation	reputation		skills/reputation/SKILL.md
reputation	reputation-alerts	reputation-alerts		skills/reputation-alerts/SKILL.md
reputation	reputation-audit	reputation-audit		skills/reputation-audit/SKILL.md
reputation	reputation-competitors	reputation-competitors		skills/reputation-competitors/SKILL.md
reputation	reputation-crisis	reputation-crisis		skills/reputation-crisis/SKILL.md
reputation	reputation-quick	reputation-quick		skills/reputation-quick/SKILL.md
reputation	reputation-recover	reputation-recover	Multi-step recovery strategy to turn a specific negative review into a positive outcome	skills/reputation-recover/SKILL.md
reputation	reputation-report-pdf	reputation-report-pdf		skills/reputation-report-pdf/SKILL.md
reputation	reputation-request	reputation-request		skills/reputation-request/SKILL.md
reputation	reputation-respond	reputation-respond		skills/reputation-respond/SKILL.md
reputation	reputation-reviews	reputation-reviews		skills/reputation-reviews/SKILL.md
reputation	reputation-sentiment	reputation-sentiment		skills/reputation-sentiment/SKILL.md
reputation	reputation-seo	reputation-seo		skills/reputation-seo/SKILL.md
reputation	reputation-social	reputation-social		skills/reputation-social/SKILL.md
reputation	reputation-trends	reputation-trends		skills/reputation-trends/SKILL.md
sales	sales	sales		skills/sales/SKILL.md
sales	sales-competitors	sales-competitors		skills/sales-competitors/SKILL.md
sales	sales-contacts	sales-contacts		skills/sales-contacts/SKILL.md
sales	sales-followup	sales-followup		skills/sales-followup/SKILL.md
sales	sales-icp	sales-icp		skills/sales-icp/SKILL.md
sales	sales-icp-dental	sales-icp-dental		skills/sales-icp-dental/SKILL.md
sales	sales-icp-home-services	sales-icp-home-services		skills/sales-icp-home-services/SKILL.md
sales	sales-icp-medspa	sales-icp-medspa		skills/sales-icp-medspa/SKILL.md
sales	sales-icp-real-estate	sales-icp-real-estate		skills/sales-icp-real-estate/SKILL.md
sales	sales-icp-veterinary	sales-icp-veterinary		skills/sales-icp-veterinary/SKILL.md
sales	sales-objections	sales-objections		skills/sales-objections/SKILL.md
sales	sales-objections-dental	sales-objections-dental		skills/sales-objections-dental/SKILL.md
sales	sales-objections-home-services	sales-objections-home-services		skills/sales-objections-home-services/SKILL.md
sales	sales-objections-medspa	sales-objections-medspa		skills/sales-objections-medspa/SKILL.md
sales	sales-objections-real-estate	sales-objections-real-estate		skills/sales-objections-real-estate/SKILL.md
sales	sales-objections-veterinary	sales-objections-veterinary		skills/sales-objections-veterinary/SKILL.md
sales	sales-outreach	sales-outreach		skills/sales-outreach/SKILL.md
sales	sales-outreach-dental	sales-outreach-dental		skills/sales-outreach-dental/SKILL.md
sales	sales-outreach-home-services	sales-outreach-home-services		skills/sales-outreach-home-services/SKILL.md
sales	sales-outreach-medspa	sales-outreach-medspa		skills/sales-outreach-medspa/SKILL.md
sales	sales-outreach-real-estate	sales-outreach-real-estate		skills/sales-outreach-real-estate/SKILL.md
sales	sales-outreach-veterinary	sales-outreach-veterinary		skills/sales-outreach-veterinary/SKILL.md
sales	sales-prep	sales-prep		skills/sales-prep/SKILL.md
sales	sales-proposal	sales-proposal		skills/sales-proposal/SKILL.md
sales	sales-prospect	sales-prospect		skills/sales-prospect/SKILL.md
sales	sales-qualify	sales-qualify		skills/sales-qualify/SKILL.md
sales	sales-report	sales-report		skills/sales-report/SKILL.md
sales	sales-report-pdf	sales-report-pdf		skills/sales-report-pdf/SKILL.md
sales	sales-research	sales-research		skills/sales-research/SKILL.md
sales	sales-research-dental	sales-research-dental		skills/sales-research-dental/SKILL.md
sales	sales-research-home-services	sales-research-home-services		skills/sales-research-home-services/SKILL.md
sales	sales-research-medspa	sales-research-medspa		skills/sales-research-medspa/SKILL.md
sales	sales-research-real-estate	sales-research-real-estate		skills/sales-research-real-estate/SKILL.md
sales	sales-research-veterinary	sales-research-veterinary		skills/sales-research-veterinary/SKILL.md
sales	sales-robotics	sales-robotics		skills/sales-robotics/SKILL.md
sales	sales-robotics-icp	sales-robotics-icp		skills/sales-robotics-icp/SKILL.md
sales	sales-robotics-objections	sales-robotics-objections		skills/sales-robotics-objections/SKILL.md
sales	sales-robotics-outreach	sales-robotics-outreach		skills/sales-robotics-outreach/SKILL.md
sales	sales-robotics-research	sales-robotics-research		skills/sales-robotics-research/SKILL.md
theme	theme-dark	theme-dark		skills/theme-dark/SKILL.md
theme	theme-light	theme-light		skills/theme-light/SKILL.md
